agent,bathrooms,building_area,building_name,building_type,decor,elevator,floor_position,link,livingrooms,orientation,price_per_m2,property,region,rooms,school,section,structure,total_price,year
昌建地产,2,135.0,友田碧云轩 地图,普通住宅,简装修,有,中层,http://esf.gz.fang.com/chushou/3_217360367.htm,3,东南,10370.0,个人产权,花都,4,,狮岭,复式,140.0,2011.0
凯城地产,1,100.0,中海金沙湾 (距6号线沙贝站约1067米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220588177.htm,2,南北,28100.0,个人产权,白云,3,,金沙洲南,,281.0,2013.0
裕丰地产,2,81.94,雅怡居 (距4号线车陂站约982米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_219989775.htm,2,南北,34171.0,个人产权,天河,3, 东圃小学 ,东圃,,280.0,2000.0
金发物业,1,43.0,惠福西路大院 (距1号线西门口站约630米) 地图,普通住宅,豪华装修,无,低层,http://esf.gz.fang.com/chushou/3_214481645.htm,1,南北,37209.0,个人产权,越秀,2, 回民小学 海珠中路小学 七株榕小学 ,解放南,平层,160.0,1990.0
裕丰地产,1,82.0,春江花园 (距4号线车陂站约687米) 地图,普通住宅,精装修,有,低层,http://esf.gz.fang.com/chushou/3_219046825.htm,2,东北,35976.0,个人产权,天河,2, 泰安小学 ,车陂,平层,295.0,2002.0
凯城地产,1,102.0,中海金沙湾 (距6号线沙贝站约1067米) 地图,普通住宅,简装修,有,高层,http://esf.gz.fang.com/chushou/3_219713357.htm,2,南北,29412.0,个人产权,白云,3,,金沙洲南,,300.0,2013.0
裕丰地产,1,63.0,时代美居 (距9号线花果山公园约621米) 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_219615703.htm,2,南北,8413.0,个人产权,花都,2, 新华第五小学 ,新区,平层,53.0,2005.0
誉辉地产,2,107.69,增城怡康花园 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_216499863.htm,2,南北,19500.0,个人产权,增城,3,,荔城大道南,,210.0,2000.0
南祥地产,4,570.0,万科红郡 (距7号线南村万博站约959米) 地图,,毛坯,,低层,http://esf.gz.fang.com/chushou/10_219741804.htm,3,南,43860.0,,番禺,6, 番禺区红郡小学 ,华南,,2500.0,2012.0
华江置业,2,98.0,丽雅新村 (距9号线花城路约439米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_219289719.htm,2,南,6633.0,个人产权,花都,3,,旧区,,65.0,1999.0
宗正地产,3,186.0,富豪山庄星月轩 地图,普通住宅,精装修,无,低层,http://esf.gz.fang.com/chushou/3_219334479.htm,2,南,24194.0,个人产权,番禺,5, 富豪山庄小学 ,金山谷,,450.0,2003.0
粤地王地产,1,95.0,区府宿舍小区 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220684817.htm,2,南北,18947.0,个人产权,荔湾,3,,芳村,,180.0,2000.0
,1,69.0,淘金路小区 (距5号线淘金站约427米) 地图,,简装修,无,低层,http://esf.gz.fang.com/chushou/3_220688997.htm,1,南,50725.0,个人产权,越秀,2,,淘金,,350.0,1990.0
正富地产,2,126.0,芳草园 (距3号线岗顶站约879米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_219310488.htm,2,南,67460.0,个人产权,天河,3, 龙口西小学 ,天河北,平层,850.0,2004.0
裕丰地产,1,86.0,富力新村 (距4号线车陂站约1112米) 地图,普通住宅,中装修,有,低层,http://esf.gz.fang.com/chushou/3_218264621.htm,2,东南,28488.0,个人产权,天河,3, 东圃小学 ,东圃,,245.0,1998.0
亿家网,2,89.0,保利紫山 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_219511552.htm,2,南,18539.0,商品房,广州周边,3,,佛山,平层,165.0,2017.0
群鑫地产,2,77.0,佳润云凯雅寓    (距3号线支线同和站约918米) 地图,普通住宅,豪华装修,有,中层,http://esf.gz.fang.com/chushou/3_220232560.htm,2,东南,23377.0,个人产权,白云,2,,同和,开间,180.0,2015.0
祈安地产,1,91.2,何济公大厦    (距1号线陈家祠站约551米) 地图,普通住宅,精装修,有,高层,http://esf.gz.fang.com/chushou/3_220061525.htm,2,东北,37829.0,个人产权,荔湾,2,,陈家祠,平层,345.0,1999.0
远见地产,4,339.0,星河湾荟心园 地图,,精装修,无,高层,http://esf.gz.fang.com/chushou/3_219511857.htm,2,南北,35398.0,商品房,番禺,5,,星河湾社区,,1200.0,2004.0
德诚行地产,2,87.0,天力居 (距5号线东圃站约811米) 地图,普通住宅,精装修,有,中层,http://esf.gz.fang.com/chushou/3_220635394.htm,2,南,32184.0,商品房,天河,3, 东圃小学 ,东圃,,280.0,2005.0
,1,63.0,淘金路小区 (距5号线淘金站约427米) 地图,,简装修,无,高层,http://esf.gz.fang.com/chushou/3_220689653.htm,1,南北,48413.0,个人产权,越秀,2,,淘金,,305.0,1990.0
